date,return,entry_price,exit_price,ticker,rationale
2023-08-03,0.03197663448954141,65588.42176061493,67685.71875,005930.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩65,906
- 종가: ₩65,588
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 29.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩65,588
- 청산가: ₩67,686
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.20%
"
2023-03-10,0.07100528137966587,81082.76571767496,86840.0703125,000660.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-03-10

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩81,772
- 종가: ₩81,180
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 30.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩81,083
- 청산가: ₩86,840
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +7.10%
"
2023-09-25,0.04665959703075292,471500.0,493500.0,373220.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-25

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩482,798
- 종가: ₩476,000
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 23.5
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩471,500
- 청산가: ₩493,500
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.67%
"
2023-02-28,0.03354833660854301,1191590.375,1231566.25,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-02-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,198,496
- 종가: ₩1,188,515
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 26.9
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,191,590
- 청산가: ₩1,231,566
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +3.35%
"
2023-06-22,0.0407893738903635,1168527.375,1216190.875,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-06-22

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,174,143
- 종가: ₩1,162,377
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.8
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,168,527
- 청산가: ₩1,216,191
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +4.08%
"
2023-09-26,0.09658244377162446,1034761.6875,1134701.5,207940.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-09-26

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩1,053,622
- 종가: ₩1,045,524
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 22.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩1,034,762
- 청산가: ₩1,134,702
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +9.66%
"
2023-08-03,-0.004697190159718017,168099.12480489074,167309.53125,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩168,674
- 종가: ₩168,187
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 19.1
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩168,099
- 청산가: ₩167,310
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -0.47%
"
2023-10-27,0.05600002177587476,154738.45561594202,163403.8125,005380.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-10-27

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩159,093
- 종가: ₩155,269
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 24.4
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩154,738
- 청산가: ₩163,404
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: +5.60%
"
2023-04-28,0.027338207311797858,690737.3540178571,709620.875,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-04-28

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩689,263
- 종가: ₩686,762
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 28.0
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩690,737
- 청산가: ₩709,621
- 청산 사유: RSI 과매수 (70 이상)
- 수익률: +2.73%
"
2023-08-03,-0.2578125162475344,636074.7086614174,472086.6875,006400.KS,"
**매수 근거 (BB-RSI 역추세)**

📊 **시그널 발생일**: 2023-08-03

📉 **과매도 조건 충족**:
- Bollinger Lower Band: ₩640,690
- 종가: ₩635,081
- 종가 ≤ Lower Band: ✅

📈 **RSI 조건 충족**:
- RSI(14): 25.2
- 과매도 기준: 30
- RSI ≤ 30: ✅

💰 **매매 결과**:
- 진입가 (익일 시가): ₩636,075
- 청산가: ₩472,087
- 청산 사유: 목표 밴드 도달 (중심선)
- 수익률: -25.78%
"
